UID: 497884990,Company Name: ,Country: 
Uid,Currency,Contract,Type,Direction,Quantity,Position,Filled Price,Funding,Fee Paid,Cash Flow,Change,Wallet Balance,Action,Time(UTC)
497884990,USDT,,TRANSFER_OUT,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-142.33000000000000000000,-142.33000000000000000000,0.00026256000000000000,--,2025-12-23 02:33:23
497884990,USDT,XAUTUSDT,TRADE,BUY,0.38800000000000000000,0.00000000000000000000,4490.30000000000000000000,0.00000000000000000000,-0.34844728000000000000,-31.42800000000000000000,-31.77644728000000000000,142.33026256000000000000,CLOSE,2025-12-23 02:24:50
497884990,USDT,XAUTUSDT,SETTLEMENT,SELL,--,-0.38800000000000000000,--,0.08661847000000000000,0.00000000000000000000,0.00000000000000000000,0.08661847000000000000,174.10670984000000000000,SETTLEMENT,2025-12-23 00:00:00
497884990,USDT,XAUTUSDT,SETTLEMENT,SELL,--,-0.38800000000000000000,--,-0.08109854000000000000,0.00000000000000000000,0.00000000000000000000,-0.08109854000000000000,174.02009137000000000000,SETTLEMENT,2025-12-22 20:00:00
497884990,USDT,XAUTUSDT,SETTLEMENT,SELL,--,-0.38800000000000000000,--,0.00208160000000000000,0.00000000000000000000,0.00000000000000000000,0.00208160000000000000,174.10118991000000000000,SETTLEMENT,2025-12-22 16:00:00
497884990,USDT,XAUTUSDT,SETTLEMENT,SELL,--,-0.38800000000000000000,--,0.08553266000000000000,0.00000000000000000000,0.00000000000000000000,0.08553266000000000000,174.09910831000000000000,SETTLEMENT,2025-12-22 12:00:00
497884990,USDT,XAUTUSDT,SETTLEMENT,SELL,--,-0.38800000000000000000,--,-0.08691608000000000000,0.00000000000000000000,0.00000000000000000000,-0.08691608000000000000,174.01357565000000000000,SETTLEMENT,2025-12-22 08:00:00
497884990,USDT,,TRANSFER_OUT,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-194.37000000000000000000,-194.37000000000000000000,174.10049173000000000000,--,2025-12-22 06:54:28
497884990,USDT,XAUTUSDT,TRADE,SELL,0.38800000000000000000,-0.38800000000000000000,4409.30000000000000000000,0.00000000000000000000,-0.34216168000000000000,0.00000000000000000000,-0.34216168000000000000,368.47049173000000000000,OPEN,2025-12-22 05:35:48
497884990,USDT,BTCUSDT,TRADE,BUY,0.00900000000000000000,0.00000000000000000000,89189.40000000000000000000,0.00000000000000000000,-0.35319003000000000000,-10.14660000000000000000,-10.49979003000000000000,368.81265341000000000000,CLOSE,2025-12-22 00:13:50
497884990,USDT,BTCUSDT,SETTLEMENT,SELL,--,-0.00900000000000000000,--,0.04285030000000000000,0.00000000000000000000,0.00000000000000000000,0.04285030000000000000,379.31244344000000000000,SETTLEMENT,2025-12-22 00:00:00
497884990,USDT,XAUTUSDT,TRADE,SELL,0.11200000000000000000,0.00000000000000000000,4354.90000000000000000000,0.00000000000000000000,-0.21460948000000000000,1.17600000000000000000,0.96139052000000000000,379.26959314000000000000,CLOSE,2025-12-21 23:49:27
497884990,USDT,XAUTUSDT,TRADE,BUY,0.11200000000000000000,0.11200000000000000000,4344.40000000000000000000,0.00000000000000000000,-0.09731456000000000000,0.00000000000000000000,-0.09731456000000000000,378.30820262000000000000,OPEN,2025-12-21 23:18:52
497884990,USDT,,TRANSFER_IN,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,216.31000000000000000000,216.31000000000000000000,378.40551718000000000000,--,2025-12-21 23:08:33
497884990,USDT,,TRANSFER_OUT,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-216.31000000000000000000,-216.31000000000000000000,162.09551718000000000000,--,2025-12-21 22:37:03
497884990,USDT,BTCUSDT,SETTLEMENT,SELL,--,-0.00900000000000000000,--,-0.01187544000000000000,0.00000000000000000000,0.00000000000000000000,-0.01187544000000000000,378.40551718000000000000,SETTLEMENT,2025-12-21 16:00:00
497884990,USDT,BTCUSDT,SETTLEMENT,SELL,--,-0.00900000000000000000,--,-0.00425936000000000000,0.00000000000000000000,0.00000000000000000000,-0.00425936000000000000,378.41739262000000000000,SETTLEMENT,2025-12-21 08:00:00
497884990,USDT,BTCUSDT,TRADE,SELL,0.00900000000000000000,-0.00900000000000000000,88062.00000000000000000000,0.00000000000000000000,-0.15851160000000000000,0.00000000000000000000,-0.15851160000000000000,378.42165198000000000000,OPEN,2025-12-21 05:14:26
497884990,USDT,BTCUSDT,TRADE,SELL,0.00200000000000000000,0.00000000000000000000,88044.60000000000000000000,0.00000000000000000000,-0.07747925000000000000,-0.39060000000000000000,-0.46807925000000000000,378.58016358000000000000,CLOSE,2025-12-20 13:15:45
497884990,USDT,BTCUSDT,SETTLEMENT,BUY,--,0.00200000000000000000,--,0.00125298000000000000,0.00000000000000000000,0.00000000000000000000,0.00125298000000000000,379.04824283000000000000,SETTLEMENT,2025-12-20 08:00:00
497884990,USDT,BTCUSDT,SETTLEMENT,BUY,--,0.00200000000000000000,--,-0.00560323000000000000,0.00000000000000000000,0.00000000000000000000,-0.00560323000000000000,379.04698985000000000000,SETTLEMENT,2025-12-20 00:00:00
497884990,USDT,BTCUSDT,TRADE,BUY,0.00200000000000000000,0.00200000000000000000,88239.90000000000000000000,0.00000000000000000000,-0.03529596000000000000,0.00000000000000000000,-0.03529596000000000000,379.05259308000000000000,OPEN,2025-12-19 23:03:51
497884990,USDT,ETHUSDT,TRADE,SELL,0.15000000000000000000,0.00000000000000000000,2985.42000000000000000000,0.00000000000000000000,-0.19703772000000000000,0.89400000000000000000,0.69696228000000000000,379.08788904000000000000,CLOSE,2025-12-19 16:11:15
497884990,USDT,ETHUSDT,TRADE,BUY,0.15000000000000000000,0.15000000000000000000,2979.46000000000000000000,0.00000000000000000000,-0.08938380000000000000,0.00000000000000000000,-0.08938380000000000000,378.39092676000000000000,OPEN,2025-12-19 16:09:39
497884990,USDT,BTCUSDT,TRADE,SELL,0.01900000000000000000,0.00000000000000000000,87530.80000000000000000000,0.00000000000000000000,-0.73175749000000000000,31.76150000000000000000,31.02974251000000000000,378.48031056000000000000,CLOSE,2025-12-19 07:00:11
497884990,USDT,BTCUSDT,SETTLEMENT,BUY,--,0.01900000000000000000,--,0.01097839000000000000,0.00000000000000000000,0.00000000000000000000,0.01097839000000000000,347.45056805000000000000,SETTLEMENT,2025-12-19 00:00:00
497884990,USDT,BTCUSDT,TRADE,BUY,0.01600000000000000000,0.01900000000000000000,85502.40000000000000000000,0.00000000000000000000,-0.27360768000000000000,0.00000000000000000000,-0.27360768000000000000,347.43958966000000000000,OPEN,2025-12-18 23:00:40
497884990,USDT,BTCUSDT,TRADE,BUY,0.00200000000000000000,0.00300000000000000000,87400.00000000000000000000,0.00000000000000000000,-0.03496000000000000000,0.00000000000000000000,-0.03496000000000000000,347.71319734000000000000,OPEN,2025-12-18 17:05:12
497884990,USDT,BTCUSDT,SETTLEMENT,BUY,--,0.00100000000000000000,--,-0.00884905000000000000,0.00000000000000000000,0.00000000000000000000,-0.00884905000000000000,347.74815734000000000000,SETTLEMENT,2025-12-18 16:00:00
